,Trial,Stimulus 1 Value,Stimulus 1 Std,Stimulus 2 Value,Stimulus 2 Std,Comparison Result
0,1.0,2.0,0.5,-3.7,0.1,True
1,1.0,2.0,0.5,-3.7,0.1,True
2,1.0,2.0,0.5,-3.7,0.1,True
3,1.0,2.0,0.5,-3.7,0.1,True
4,1.0,2.0,0.5,-3.7,0.1,True
5,1.0,2.0,0.5,-3.7,0.1,True
6,1.0,2.0,0.5,-3.7,0.1,True
7,1.0,2.0,0.5,-3.7,0.1,True
8,1.0,2.0,0.5,-3.7,0.1,True
9,1.0,2.0,0.5,-3.7,0.1,True
10,2.0,2.0,0.5,-3.6,0.1,True
11,2.0,2.0,0.5,-3.6,0.1,True
12,2.0,2.0,0.5,-3.6,0.1,True
13,2.0,2.0,0.5,-3.6,0.1,True
14,2.0,2.0,0.5,-3.6,0.1,True
15,2.0,2.0,0.5,-3.6,0.1,True
16,2.0,2.0,0.5,-3.6,0.1,True
17,2.0,2.0,0.5,-3.6,0.1,True
18,2.0,2.0,0.5,-3.6,0.1,True
19,2.0,2.0,0.5,-3.6,0.1,True
20,3.0,2.0,0.5,-3.5,0.1,True
21,3.0,2.0,0.5,-3.5,0.1,True
22,3.0,2.0,0.5,-3.5,0.1,True
23,3.0,2.0,0.5,-3.5,0.1,True
24,3.0,2.0,0.5,-3.5,0.1,True
25,3.0,2.0,0.5,-3.5,0.1,True
26,3.0,2.0,0.5,-3.5,0.1,True
27,3.0,2.0,0.5,-3.5,0.1,True
28,3.0,2.0,0.5,-3.5,0.1,True
29,3.0,2.0,0.5,-3.5,0.1,True
30,4.0,2.0,0.5,-3.4,0.1,True
31,4.0,2.0,0.5,-3.4,0.1,True
32,4.0,2.0,0.5,-3.4,0.1,True
33,4.0,2.0,0.5,-3.4,0.1,True
34,4.0,2.0,0.5,-3.4,0.1,True
35,4.0,2.0,0.5,-3.4,0.1,True
36,4.0,2.0,0.5,-3.4,0.1,True
37,4.0,2.0,0.5,-3.4,0.1,True
38,4.0,2.0,0.5,-3.4,0.1,True
39,4.0,2.0,0.5,-3.4,0.1,True
40,5.0,2.0,0.5,-3.3,0.1,True
41,5.0,2.0,0.5,-3.3,0.1,True
42,5.0,2.0,0.5,-3.3,0.1,True
43,5.0,2.0,0.5,-3.3,0.1,True
44,5.0,2.0,0.5,-3.3,0.1,True
45,5.0,2.0,0.5,-3.3,0.1,True
46,5.0,2.0,0.5,-3.3,0.1,True
47,5.0,2.0,0.5,-3.3,0.1,True
48,5.0,2.0,0.5,-3.3,0.1,True
49,5.0,2.0,0.5,-3.3,0.1,True
50,6.0,2.0,0.5,-3.2,0.1,True
51,6.0,2.0,0.5,-3.2,0.1,True
52,6.0,2.0,0.5,-3.2,0.1,True
53,6.0,2.0,0.5,-3.2,0.1,True
54,6.0,2.0,0.5,-3.2,0.1,True
55,6.0,2.0,0.5,-3.2,0.1,True
56,6.0,2.0,0.5,-3.2,0.1,True
57,6.0,2.0,0.5,-3.2,0.1,True
58,6.0,2.0,0.5,-3.2,0.1,True
59,6.0,2.0,0.5,-3.2,0.1,True
60,7.0,2.0,0.5,-3.1,0.1,True
61,7.0,2.0,0.5,-3.1,0.1,True
62,7.0,2.0,0.5,-3.1,0.1,True
63,7.0,2.0,0.5,-3.1,0.1,True
64,7.0,2.0,0.5,-3.1,0.1,True
65,7.0,2.0,0.5,-3.1,0.1,True
66,7.0,2.0,0.5,-3.1,0.1,True
67,7.0,2.0,0.5,-3.1,0.1,True
68,7.0,2.0,0.5,-3.1,0.1,True
69,7.0,2.0,0.5,-3.1,0.1,True
70,8.0,2.0,0.5,-3.0,0.1,True
71,8.0,2.0,0.5,-3.0,0.1,True
72,8.0,2.0,0.5,-3.0,0.1,True
73,8.0,2.0,0.5,-3.0,0.1,True
74,8.0,2.0,0.5,-3.0,0.1,True
75,8.0,2.0,0.5,-3.0,0.1,True
76,8.0,2.0,0.5,-3.0,0.1,True
77,8.0,2.0,0.5,-3.0,0.1,True
78,8.0,2.0,0.5,-3.0,0.1,True
79,8.0,2.0,0.5,-3.0,0.1,True
80,9.0,2.0,0.5,-2.8999999999999995,0.1,True
81,9.0,2.0,0.5,-2.8999999999999995,0.1,True
82,9.0,2.0,0.5,-2.8999999999999995,0.1,True
