,Trial,Stimulus 1 Value,Stimulus 1 Std,Stimulus 2 Value,Stimulus 2 Std,Comparison Result
0,1.0,0.0,0.1,-3.0,0.1,True
1,1.0,0.0,0.1,-3.0,0.1,True
2,1.0,0.0,0.1,-3.0,0.1,True
3,1.0,0.0,0.1,-3.0,0.1,True
4,1.0,0.0,0.1,-3.0,0.1,True
5,1.0,0.0,0.1,-3.0,0.1,True
6,1.0,0.0,0.1,-3.0,0.1,True
7,1.0,0.0,0.1,-3.0,0.1,True
8,1.0,0.0,0.1,-3.0,0.1,True
9,1.0,0.0,0.1,-3.0,0.1,True
10,1.0,0.0,0.1,-3.0,0.1,True
11,1.0,0.0,0.1,-3.0,0.1,True
12,1.0,0.0,0.1,-3.0,0.1,True
13,1.0,0.0,0.1,-3.0,0.1,True
14,1.0,0.0,0.1,-3.0,0.1,True
15,1.0,0.0,0.1,-3.0,0.1,True
16,1.0,0.0,0.1,-3.0,0.1,True
17,1.0,0.0,0.1,-3.0,0.1,True
18,1.0,0.0,0.1,-3.0,0.1,True
19,1.0,0.0,0.1,-3.0,0.1,True
20,1.0,0.0,0.1,-3.0,0.1,True
21,1.0,0.0,0.1,-3.0,0.1,True
22,1.0,0.0,0.1,-3.0,0.1,True
23,1.0,0.0,0.1,-3.0,0.1,True
24,1.0,0.0,0.1,-3.0,0.1,True
25,1.0,0.0,0.1,-3.0,0.1,True
26,1.0,0.0,0.1,-3.0,0.1,True
27,1.0,0.0,0.1,-3.0,0.1,True
28,1.0,0.0,0.1,-3.0,0.1,True
29,1.0,0.0,0.1,-3.0,0.1,True
30,1.0,0.0,0.1,-3.0,0.1,True
31,1.0,0.0,0.1,-3.0,0.1,True
32,1.0,0.0,0.1,-3.0,0.1,True
33,1.0,0.0,0.1,-3.0,0.1,True
34,1.0,0.0,0.1,-3.0,0.1,True
35,1.0,0.0,0.1,-3.0,0.1,True
36,1.0,0.0,0.1,-3.0,0.1,True
37,1.0,0.0,0.1,-3.0,0.1,True
38,1.0,0.0,0.1,-3.0,0.1,True
39,1.0,0.0,0.1,-3.0,0.1,True
40,1.0,0.0,0.1,-3.0,0.1,True
41,1.0,0.0,0.1,-3.0,0.1,True
42,1.0,0.0,0.1,-3.0,0.1,True
43,1.0,0.0,0.1,-3.0,0.1,True
44,1.0,0.0,0.1,-3.0,0.1,True
45,1.0,0.0,0.1,-3.0,0.1,True
46,1.0,0.0,0.1,-3.0,0.1,True
47,1.0,0.0,0.1,-3.0,0.1,True
48,1.0,0.0,0.1,-3.0,0.1,True
49,1.0,0.0,0.1,-3.0,0.1,True
50,1.0,0.0,0.1,-3.0,0.1,True
51,1.0,0.0,0.1,-3.0,0.1,True
52,1.0,0.0,0.1,-3.0,0.1,True
53,1.0,0.0,0.1,-3.0,0.1,True
54,1.0,0.0,0.1,-3.0,0.1,True
55,1.0,0.0,0.1,-3.0,0.1,True
56,1.0,0.0,0.1,-3.0,0.1,True
57,1.0,0.0,0.1,-3.0,0.1,True
58,1.0,0.0,0.1,-3.0,0.1,True
59,1.0,0.0,0.1,-3.0,0.1,True
60,1.0,0.0,0.1,-3.0,0.1,True
61,1.0,0.0,0.1,-3.0,0.1,True
62,1.0,0.0,0.1,-3.0,0.1,True
63,1.0,0.0,0.1,-3.0,0.1,True
64,1.0,0.0,0.1,-3.0,0.1,True
65,1.0,0.0,0.1,-3.0,0.1,True
66,1.0,0.0,0.1,-3.0,0.1,True
67,1.0,0.0,0.1,-3.0,0.1,True
68,1.0,0.0,0.1,-3.0,0.1,True
69,1.0,0.0,0.1,-3.0,0.1,True
70,1.0,0.0,0.1,-3.0,0.1,True
71,1.0,0.0,0.1,-3.0,0.1,True
72,1.0,0.0,0.1,-3.0,0.1,True
73,1.0,0.0,0.1,-3.0,0.1,True
74,1.0,0.0,0.1,-3.0,0.1,True
75,1.0,0.0,0.1,-3.0,0.1,True
76,1.0,0.0,0.1,-3.0,0.1,True
77,1.0,0.0,0.1,-3.0,0.1,True
78,1.0,0.0,0.1,-3.0,0.1,True
79,1.0,0.0,0.1,-3.0,0.1,True
80,1.0,0.0,0.1,-3.0,0.1,True
81,1.0,0.0,0.1,-3.0,0.1,True
82,1.0,0.0,0.1,-3.0,0.1,True
83,1.0,0.0,0.1,-3.0,0.1,True
84,1.0,0.0,0.1,-3.0,0.1,True
85,1.0,0.0,0.1,-3.0,0.1,True
86,1.0,0.0,0.1,-3.0,0.1,True
87,1.0,0.0,0.1,-3.0,0.1,True
88,1.0,0.0,0.1,-3.0,0.1,True
