Trial,Stimulus 1 Value,Stimulus 1 Std,Stimulus 2 Value,Stimulus 2 Std
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
1.0,0,0.1,-5.0,0.1
