Trial,Stimulus 1 Value,Stimulus 1 Std,Stimulus 2 Value,Stimulus 2 Std,Comparison Result
1.0,2.0,1.0,-4.0,0.2,True
1.0,2.0,1.0,-4.0,0.2,True
2.0,2.0,1.0,-3.99,0.2,True
2.0,2.0,1.0,-3.98,0.2,True
3.0,2.0,1.0,-3.97,0.2,True
3.0,2.0,1.0,-3.96,0.2,True
4.0,2.0,1.0,-3.95,0.2,True
4.0,2.0,1.0,-3.94,0.2,True
5.0,2.0,1.0,-3.93,0.2,True
5.0,2.0,1.0,-3.92,0.2,True
6.0,2.0,1.0,-3.91,0.2,True
6.0,2.0,1.0,-3.9,0.2,True
7.0,2.0,1.0,-3.89,0.2,True
7.0,2.0,1.0,-3.88,0.2,True
8.0,2.0,1.0,-3.87,0.2,True
8.0,2.0,1.0,-3.86,0.2,True
9.0,2.0,1.0,-3.85,0.2,True
9.0,2.0,1.0,-3.84,0.2,True
10.0,2.0,1.0,-3.83,0.2,True
10.0,2.0,1.0,-3.82,0.2,True
11.0,2.0,1.0,-3.81,0.2,True
11.0,2.0,1.0,-3.8,0.2,True
12.0,2.0,1.0,-3.79,0.2,True
12.0,2.0,1.0,-3.78,0.2,True
13.0,2.0,1.0,-3.77,0.2,True
13.0,2.0,1.0,-3.76,0.2,True
14.0,2.0,1.0,-3.75,0.2,True
14.0,2.0,1.0,-3.74,0.2,True
15.0,2.0,1.0,-3.73,0.2,True
15.0,2.0,1.0,-3.72,0.2,True
16.0,2.0,1.0,-3.71,0.2,True
16.0,2.0,1.0,-3.7,0.2,True
17.0,2.0,1.0,-3.69,0.2,True
17.0,2.0,1.0,-3.68,0.2,True
18.0,2.0,1.0,-3.67,0.2,True
18.0,2.0,1.0,-3.66,0.2,True
19.0,2.0,1.0,-3.65,0.2,True
19.0,2.0,1.0,-3.64,0.2,True
20.0,2.0,1.0,-3.63,0.2,True
20.0,2.0,1.0,-3.62,0.2,True
21.0,2.0,1.0,-3.61,0.2,True
21.0,2.0,1.0,-3.6,0.2,True
22.0,2.0,1.0,-3.59,0.2,True
22.0,2.0,1.0,-3.58,0.2,True
23.0,2.0,1.0,-3.57,0.2,True
23.0,2.0,1.0,-3.56,0.2,True
24.0,2.0,1.0,-3.55,0.2,True
24.0,2.0,1.0,-3.54,0.2,True
25.0,2.0,1.0,-3.53,0.2,True
25.0,2.0,1.0,-3.52,0.2,True
26.0,2.0,1.0,-3.51,0.2,True
26.0,2.0,1.0,-3.5,0.2,True
27.0,2.0,1.0,-3.49,0.2,True
27.0,2.0,1.0,-3.48,0.2,True
28.0,2.0,1.0,-3.47,0.2,True
28.0,2.0,1.0,-3.46,0.2,True
29.0,2.0,1.0,-3.45,0.2,True
29.0,2.0,1.0,-3.44,0.2,True
